Age,Income,Watch_Hours
20,25000,10
21,28000,12
23,30000,11
24,35000,13
22,27000,14
25,40000,15
26,45000,16
24,37000,15
21,26000,11
23,32000,13
22,29000,12
24,36000,14
25,41000,15
26,47000,16
22,28000,13
21,26000,12
23,31000,11
24,34000,13
25,39000,14
26,44000,15
27,48000,16
28,52000,17
29,55000,18
30,60000,19
31,62000,18
32,65000,20
33,68000,21
34,70000,22
35,73000,21
36,76000,23
37,79000,22
38,82000,24
39,85000,23
40,90000,25
41,92000,24
42,95000,25
43,98000,26
44,100000,27
45,105000,28
46,110000,29
47,115000,30
48,120000,31
49,125000,32
50,130000,33
51,135000,34
52,140000,35
53,145000,36
54,150000,37
55,155000,38
60,1000000,1
