total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.50,Male,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
25.29,4.71,Male,No,Sun,Dinner,4
8.77,2.00,Male,No,Sun,Dinner,2
26.88,3.12,Male,No,Sun,Dinner,4
15.04,1.96,Male,No,Sun,Dinner,2
14.78,3.23,Male,No,Sun,Dinner,2
10.27,1.71,Male,No,Sun,Dinner,2
35.26,5.00,Female,No,Sun,Dinner,4
15.42,1.57,Male,No,Sun,Dinner,2
18.43,3.00,Male,No,Sun,Dinner,4
14.83,3.02,Female,No,Sun,Dinner,2
21.58,3.92,Male,No,Sun,Dinner,2
10.33,1.67,Female,No,Sun,Dinner,3
16.29,3.71,Male,No,Sun,Dinner,3
16.97,3.50,Female,No,Sun,Dinner,3
20.65,3.35,Male,No,Sat,Dinner,3
17.92,4.08,Male,No,Sat,Dinner,2
20.29,2.75,Female,No,Sat,Dinner,2
15.77,2.23,Female,No,Sat,Dinner,2
39.42,7.58,Male,No,Sat,Dinner,4
19.82,3.18,Male,No,Sat,Dinner,2
17.81,2.34,Male,No,Sat,Dinner,4
13.37,2.00,Male,No,Sat,Dinner,2
12.69,2.00,Female,No,Sat,Dinner,2
21.70,4.30,Male,No,Sat,Dinner,2
19.65,3.00,Female,No,Sat,Dinner,2
9.55,1.45,Male,No,Sat,Dinner,2
18.35,2.50,Male,Yes,Sat,Dinner,4
15.06,3.00,Female,Yes,Sat,Dinner,2
20.69,2.45,Male,Yes,Sat,Dinner,4
17.78,3.27,Male,Yes,Sat,Dinner,2
24.06,3.60,Male,Yes,Sat,Dinner,3
16.31,2.00,Female,Yes,Sat,Dinner,3
50.81,10.00,Male,Yes,Sat,Dinner,3
14.15,2.00,Female,Yes,Fri,Lunch,2
16.00,2.50,Male,Yes,Fri,Lunch,2
13.16,2.75,Female,No,Thur,Lunch,2
17.47,3.50,Male,No,Thur,Lunch,2
34.30,6.70,Male,No,Thur,Lunch,6
41.19,5.00,Female,No,Thur,Lunch,5
27.05,5.00,Female,No,Thur,Lunch,6
16.43,2.30,Female,No,Thur,Lunch,2
8.35,1.50,Female,No,Thur,Lunch,2
18.64,1.36,Female,No,Thur,Lunch,3
11.87,1.63,Female,No,Thur,Lunch,2
500.00,50.00,Male,No,Sun,Dinner,6
